#SampleID	Subject	Treatment	Timepoint
#q2:types	categorical	categorical	numeric
destabilizing_treatment_22_t2	destabilizing_treatment_22	destabilizing_treatment	2
destabilizing_treatment_22_t3	destabilizing_treatment_22	destabilizing_treatment	3
destabilizing_treatment_22_t4	destabilizing_treatment_22	destabilizing_treatment	4
destabilizing_treatment_22_t5	destabilizing_treatment_22	destabilizing_treatment	5
destabilizing_treatment_22_t6	destabilizing_treatment_22	destabilizing_treatment	6
destabilizing_treatment_22_t7	destabilizing_treatment_22	destabilizing_treatment	7
destabilizing_treatment_22_t8	destabilizing_treatment_22	destabilizing_treatment	8
destabilizing_treatment_22_t9	destabilizing_treatment_22	destabilizing_treatment	9
destabilizing_treatment_23_t0	destabilizing_treatment_23	destabilizing_treatment	0
destabilizing_treatment_23_t1	destabilizing_treatment_23	destabilizing_treatment	1
destabilizing_treatment_23_t2	destabilizing_treatment_23	destabilizing_treatment	2
destabilizing_treatment_23_t3	destabilizing_treatment_23	destabilizing_treatment	3
destabilizing_treatment_23_t4	destabilizing_treatment_23	destabilizing_treatment	4
destabilizing_treatment_23_t5	destabilizing_treatment_23	destabilizing_treatment	5
destabilizing_treatment_23_t6	destabilizing_treatment_23	destabilizing_treatment	6
destabilizing_treatment_23_t7	destabilizing_treatment_23	destabilizing_treatment	7
destabilizing_treatment_23_t8	destabilizing_treatment_23	destabilizing_treatment	8
destabilizing_treatment_23_t9	destabilizing_treatment_23	destabilizing_treatment	9
destabilizing_treatment_24_t0	destabilizing_treatment_24	destabilizing_treatment	0
destabilizing_treatment_24_t1	destabilizing_treatment_24	destabilizing_treatment	1
destabilizing_treatment_24_t2	destabilizing_treatment_24	destabilizing_treatment	2
destabilizing_treatment_24_t3	destabilizing_treatment_24	destabilizing_treatment	3
destabilizing_treatment_24_t4	destabilizing_treatment_24	destabilizing_treatment	4
destabilizing_treatment_24_t5	destabilizing_treatment_24	destabilizing_treatment	5
destabilizing_treatment_24_t6	destabilizing_treatment_24	destabilizing_treatment	6
destabilizing_treatment_24_t7	destabilizing_treatment_24	destabilizing_treatment	7
destabilizing_treatment_24_t8	destabilizing_treatment_24	destabilizing_treatment	8
destabilizing_treatment_24_t9	destabilizing_treatment_24	destabilizing_treatment	9
destabilizing_treatment_25_t0	destabilizing_treatment_25	destabilizing_treatment	0
destabilizing_treatment_25_t1	destabilizing_treatment_25	destabilizing_treatment	1
destabilizing_treatment_25_t2	destabilizing_treatment_25	destabilizing_treatment	2
destabilizing_treatment_25_t3	destabilizing_treatment_25	destabilizing_treatment	3
destabilizing_treatment_25_t4	destabilizing_treatment_25	destabilizing_treatment	4
destabilizing_treatment_25_t5	destabilizing_treatment_25	destabilizing_treatment	5
destabilizing_treatment_25_t6	destabilizing_treatment_25	destabilizing_treatment	6
destabilizing_treatment_25_t7	destabilizing_treatment_25	destabilizing_treatment	7
destabilizing_treatment_25_t8	destabilizing_treatment_25	destabilizing_treatment	8
destabilizing_treatment_25_t9	destabilizing_treatment_25	destabilizing_treatment	9
destabilizing_treatment_26_t0	destabilizing_treatment_26	destabilizing_treatment	0
destabilizing_treatment_26_t1	destabilizing_treatment_26	destabilizing_treatment	1
destabilizing_treatment_26_t2	destabilizing_treatment_26	destabilizing_treatment	2
destabilizing_treatment_26_t3	destabilizing_treatment_26	destabilizing_treatment	3
destabilizing_treatment_26_t4	destabilizing_treatment_26	destabilizing_treatment	4
destabilizing_treatment_26_t5	destabilizing_treatment_26	destabilizing_treatment	5
destabilizing_treatment_26_t6	destabilizing_treatment_26	destabilizing_treatment	6
destabilizing_treatment_26_t7	destabilizing_treatment_26	destabilizing_treatment	7
destabilizing_treatment_26_t8	destabilizing_treatment_26	destabilizing_treatment	8
destabilizing_treatment_26_t9	destabilizing_treatment_26	destabilizing_treatment	9
destabilizing_treatment_27_t0	destabilizing_treatment_27	destabilizing_treatment	0
destabilizing_treatment_27_t1	destabilizing_treatment_27	destabilizing_treatment	1
destabilizing_treatment_27_t2	destabilizing_treatment_27	destabilizing_treatment	2
destabilizing_treatment_27_t3	destabilizing_treatment_27	destabilizing_treatment	3
destabilizing_treatment_27_t4	destabilizing_treatment_27	destabilizing_treatment	4
destabilizing_treatment_27_t5	destabilizing_treatment_27	destabilizing_treatment	5
destabilizing_treatment_27_t6	destabilizing_treatment_27	destabilizing_treatment	6
destabilizing_treatment_27_t7	destabilizing_treatment_27	destabilizing_treatment	7
destabilizing_treatment_27_t8	destabilizing_treatment_27	destabilizing_treatment	8
destabilizing_treatment_27_t9	destabilizing_treatment_27	destabilizing_treatment	9
destabilizing_treatment_28_t0	destabilizing_treatment_28	destabilizing_treatment	0
destabilizing_treatment_28_t1	destabilizing_treatment_28	destabilizing_treatment	1
destabilizing_treatment_28_t2	destabilizing_treatment_28	destabilizing_treatment	2
destabilizing_treatment_28_t3	destabilizing_treatment_28	destabilizing_treatment	3
destabilizing_treatment_28_t4	destabilizing_treatment_28	destabilizing_treatment	4
destabilizing_treatment_28_t5	destabilizing_treatment_28	destabilizing_treatment	5
destabilizing_treatment_28_t6	destabilizing_treatment_28	destabilizing_treatment	6
destabilizing_treatment_28_t7	destabilizing_treatment_28	destabilizing_treatment	7
destabilizing_treatment_28_t8	destabilizing_treatment_28	destabilizing_treatment	8
destabilizing_treatment_28_t9	destabilizing_treatment_28	destabilizing_treatment	9
destabilizing_treatment_29_t0	destabilizing_treatment_29	destabilizing_treatment	0
destabilizing_treatment_29_t1	destabilizing_treatment_29	destabilizing_treatment	1
destabilizing_treatment_29_t2	destabilizing_treatment_29	destabilizing_treatment	2
destabilizing_treatment_29_t3	destabilizing_treatment_29	destabilizing_treatment	3
destabilizing_treatment_29_t4	destabilizing_treatment_29	destabilizing_treatment	4
destabilizing_treatment_29_t5	destabilizing_treatment_29	destabilizing_treatment	5
destabilizing_treatment_29_t6	destabilizing_treatment_29	destabilizing_treatment	6
destabilizing_treatment_29_t7	destabilizing_treatment_29	destabilizing_treatment	7
destabilizing_treatment_29_t8	destabilizing_treatment_29	destabilizing_treatment	8
destabilizing_treatment_29_t9	destabilizing_treatment_29	destabilizing_treatment	9
destabilizing_treatment_30_t0	destabilizing_treatment_30	destabilizing_treatment	0
destabilizing_treatment_30_t1	destabilizing_treatment_30	destabilizing_treatment	1
destabilizing_treatment_30_t2	destabilizing_treatment_30	destabilizing_treatment	2
destabilizing_treatment_30_t3	destabilizing_treatment_30	destabilizing_treatment	3
destabilizing_treatment_30_t4	destabilizing_treatment_30	destabilizing_treatment	4
destabilizing_treatment_30_t5	destabilizing_treatment_30	destabilizing_treatment	5
destabilizing_treatment_30_t6	destabilizing_treatment_30	destabilizing_treatment	6
destabilizing_treatment_30_t7	destabilizing_treatment_30	destabilizing_treatment	7
destabilizing_treatment_30_t8	destabilizing_treatment_30	destabilizing_treatment	8
destabilizing_treatment_30_t9	destabilizing_treatment_30	destabilizing_treatment	9
destabilizing_treatment_31_t0	destabilizing_treatment_31	destabilizing_treatment	0
destabilizing_treatment_31_t1	destabilizing_treatment_31	destabilizing_treatment	1
destabilizing_treatment_31_t2	destabilizing_treatment_31	destabilizing_treatment	2
destabilizing_treatment_31_t3	destabilizing_treatment_31	destabilizing_treatment	3
destabilizing_treatment_31_t4	destabilizing_treatment_31	destabilizing_treatment	4
destabilizing_treatment_31_t5	destabilizing_treatment_31	destabilizing_treatment	5
destabilizing_treatment_31_t6	destabilizing_treatment_31	destabilizing_treatment	6
destabilizing_treatment_31_t7	destabilizing_treatment_31	destabilizing_treatment	7
destabilizing_treatment_31_t8	destabilizing_treatment_31	destabilizing_treatment	8
destabilizing_treatment_31_t9	destabilizing_treatment_31	destabilizing_treatment	9
destabilizing_treatment_32_t0	destabilizing_treatment_32	destabilizing_treatment	0
destabilizing_treatment_32_t1	destabilizing_treatment_32	destabilizing_treatment	1
destabilizing_treatment_32_t2	destabilizing_treatment_32	destabilizing_treatment	2
destabilizing_treatment_32_t3	destabilizing_treatment_32	destabilizing_treatment	3
destabilizing_treatment_32_t4	destabilizing_treatment_32	destabilizing_treatment	4
destabilizing_treatment_32_t5	destabilizing_treatment_32	destabilizing_treatment	5
destabilizing_treatment_32_t6	destabilizing_treatment_32	destabilizing_treatment	6
destabilizing_treatment_32_t7	destabilizing_treatment_32	destabilizing_treatment	7
destabilizing_treatment_32_t8	destabilizing_treatment_32	destabilizing_treatment	8
destabilizing_treatment_32_t9	destabilizing_treatment_32	destabilizing_treatment	9
destabilizing_treatment_33_t0	destabilizing_treatment_33	destabilizing_treatment	0
destabilizing_treatment_33_t1	destabilizing_treatment_33	destabilizing_treatment	1
destabilizing_treatment_33_t2	destabilizing_treatment_33	destabilizing_treatment	2
destabilizing_treatment_33_t3	destabilizing_treatment_33	destabilizing_treatment	3
destabilizing_treatment_33_t4	destabilizing_treatment_33	destabilizing_treatment	4
destabilizing_treatment_33_t5	destabilizing_treatment_33	destabilizing_treatment	5
destabilizing_treatment_33_t6	destabilizing_treatment_33	destabilizing_treatment	6
destabilizing_treatment_33_t7	destabilizing_treatment_33	destabilizing_treatment	7
destabilizing_treatment_33_t8	destabilizing_treatment_33	destabilizing_treatment	8
destabilizing_treatment_33_t9	destabilizing_treatment_33	destabilizing_treatment	9
destabilizing_treatment_34_t0	destabilizing_treatment_34	destabilizing_treatment	0
destabilizing_treatment_34_t1	destabilizing_treatment_34	destabilizing_treatment	1
destabilizing_treatment_34_t2	destabilizing_treatment_34	destabilizing_treatment	2
destabilizing_treatment_34_t3	destabilizing_treatment_34	destabilizing_treatment	3
destabilizing_treatment_34_t4	destabilizing_treatment_34	destabilizing_treatment	4
destabilizing_treatment_34_t5	destabilizing_treatment_34	destabilizing_treatment	5
destabilizing_treatment_34_t6	destabilizing_treatment_34	destabilizing_treatment	6
destabilizing_treatment_34_t7	destabilizing_treatment_34	destabilizing_treatment	7
destabilizing_treatment_34_t8	destabilizing_treatment_34	destabilizing_treatment	8
destabilizing_treatment_34_t9	destabilizing_treatment_34	destabilizing_treatment	9
